year,rank,restaurant,location,country,lat,lng,Cuisine,Description
2002,1,El Bulli,Roses,Spain,42.2639489,3.1795528,Modernist / Molecular Gastronomy,"Pioneering molecular gastronomy, El Bulli was famed for its innovative techniques and multi-sensory dining experience led by chef Ferran Adrià."
2002,2,Restaurant Gordon Ramsay,London,United Kingdom,51.5072178,-0.1275862,French / Modern European,"A fine-dining institution in London offering classic French cuisine with modern precision, helmed by celebrity chef Gordon Ramsay."
2002,3,The French Laundry,Yountville,United States,38.401578,-122.3608105,French / Contemporary American,"Renowned for its refined French cuisine and seasonal tasting menus, The French Laundry is a hallmark of American fine dining."
2002,4,Rockpool,Sydney,Australia,-33.8688197,151.2092955,Modern Australian / Asian Fusion,"Blending Australian ingredients with Asian flavors, Rockpool became a staple of Sydney’s high-end dining scene."
2002,5,Spoon des Iles,Ile Maurice,Mauritius,-20.348404,57.552152,French / Mauritian Fusion,"A tropical outpost of Alain Ducasse's culinary empire, Spoon des Iles served French cuisine with island influences."
2002,6,L'Auberge de l'Ill,Alsace,France,48.584614,7.750713,French,"A distinguished restaurant offering french cuisine, known for its quality and culinary creativity in Alsace, France."
2002,7,1884,Godoy Cruz,Argentina,-32.9286268,-68.8583963,Argentinian,"A distinguished restaurant offering argentinian cuisine, known for its quality and culinary creativity in Godoy Cruz, Argentina."
2002,8,The Ivy,London,United Kingdom,51.5072178,-0.1275862,Modern British / European,"A distinguished restaurant offering modern british / european cuisine, known for its quality and culinary creativity in London, United Kingdom."
2002,9,Eigensinn Farm,Singhampton,Canada,44.350193,-80.248215,Contemporary Canadian,"A distinguished restaurant offering contemporary canadian cuisine, known for its quality and culinary creativity in Singhampton, Canada."
2002,10,Tetsuya's,Sydney,Australia,-33.8688197,151.2092955,Modern Australian,"A distinguished restaurant offering modern australian cuisine, known for its quality and culinary creativity in Sydney, Australia."
2002,11,Charlie Trotter's,Chicago,United States,41.8781136,-87.6297982,Contemporary American,"A distinguished restaurant offering contemporary american cuisine, known for its quality and culinary creativity in Chicago, United States."
2002,12,Tangerine,Philadelphia,United States,39.9525839,-75.1652215,Contemporary American,"A distinguished restaurant offering contemporary american cuisine, known for its quality and culinary creativity in Philadelphia, United States."
2002,13,La Coupole,Paris,France,48.8575475,2.3513765,French,"A distinguished restaurant offering french cuisine, known for its quality and culinary creativity in Paris, France."
2002,14,Bukhara,New Delhi,India,28.6139298,77.2088282,Indian,"A distinguished restaurant offering indian cuisine, known for its quality and culinary creativity in New Delhi, India."
2002,15,Vong,New York,United States,40.7127753,-74.0059728,Contemporary American,"A distinguished restaurant offering contemporary american cuisine, known for its quality and culinary creativity in New York, United States."
2002,16,L'Ambroisie,Paris,France,48.8575475,2.3513765,French,"A distinguished restaurant offering french cuisine, known for its quality and culinary creativity in Paris, France."
2002,17,Al Mahara,Dubai,United Arab Emirates,25.2048493,55.2707828,International / Fusion,"A distinguished restaurant offering international / fusion cuisine, known for its quality and culinary creativity in Dubai, United Arab Emirates."
2002,18,Felix,Hong Kong,Hong Kong,22.3193039,114.1693611,International / Fusion,"A distinguished restaurant offering international / fusion cuisine, known for its quality and culinary creativity in Hong Kong, Hong Kong."
2002,19,The Merchant House,Portsmouth,United Kingdom,50.8197675,-1.0879769,Modern British / European,"A distinguished restaurant offering modern british / european cuisine, known for its quality and culinary creativity in Portsmouth, United Kingdom."
2002,20,Operakällaren,Stockholm,Sweden,59.3293234,18.0685808,New Nordic,"A distinguished restaurant offering new nordic cuisine, known for its quality and culinary creativity in Stockholm, Sweden."
2002,21,Gramercy Tavern,New York,United States,40.7127753,-74.0059728,Contemporary American,"A distinguished restaurant offering contemporary american cuisine, known for its quality and culinary creativity in New York, United States."
2002,22,Sukiyabashi Jiro,Tokyo,Japan,35.6764225,139.650027,Japanese,"A distinguished restaurant offering japanese cuisine, known for its quality and culinary creativity in Tokyo, Japan."
2002,23,Little Washington,Washington,United States,47.7510741,-120.7401386,Contemporary American,"A distinguished restaurant offering contemporary american cuisine, known for its quality and culinary creativity in Washington, United States."
2002,24,Alle Testiere,Venice,Italy,45.440379,12.3159547,Italian,"A distinguished restaurant offering italian cuisine, known for its quality and culinary creativity in Venice, Italy."
2002,25,The Lone Star,Mount Standfast,Barbados,13.2064902,-59.6348312,International / Fusion,"A distinguished restaurant offering international / fusion cuisine, known for its quality and culinary creativity in Mount Standfast, Barbados."
2002,26,Chez Vroney,Zermatt,Switzerland,46.0207133,7.749117,International / Fusion,"A distinguished restaurant offering international / fusion cuisine, known for its quality and culinary creativity in Zermatt, Switzerland."
2002,27,Flower Drum,Melbourne,Australia,-37.8136276,144.9630576,Modern Australian,"A distinguished restaurant offering modern australian cuisine, known for its quality and culinary creativity in Melbourne, Australia."
2002,28,The Three Chimneys,Isle of Skye,United Kingdom,57.2736278,-6.2155022,Modern British / European,"A distinguished restaurant offering modern british / european cuisine, known for its quality and culinary creativity in Isle of Skye, United Kingdom."
2002,29,Chez Panisse,Berkeley,United States,37.8715226,-122.273042,Contemporary American,"A distinguished restaurant offering contemporary american cuisine, known for its quality and culinary creativity in Berkeley, United States."
